timestamp,scan_idx,meas_idx,angle_deg,distance_mm,quality,x_mm,y_mm
2025-11-07T13:19:04.960Z,0,153,235.766,1915.0,15,-1077.3,-1583.2
2025-11-07T13:19:04.960Z,0,154,240.812,310.2,15,-151.3,-270.9
2025-11-07T13:19:04.960Z,0,155,242.812,307.0,15,-140.3,-273.1
2025-11-07T13:19:04.960Z,0,156,243.641,304.8,15,-135.3,-273.1
2025-11-07T13:19:04.960Z,0,157,245.328,299.0,13,-124.8,-271.7
2025-11-07T13:19:04.960Z,0,158,246.656,296.5,11,-117.5,-272.2
2025-11-07T13:19:04.960Z,0,159,247.344,297.2,15,-114.5,-274.3
2025-11-07T13:19:04.960Z,0,160,249.359,294.2,14,-103.7,-275.4
2025-11-07T13:19:04.960Z,0,161,250.734,293.5,15,-96.8,-277.1
2025-11-07T13:19:04.960Z,0,162,252.250,289.5,15,-88.3,-275.7
2025-11-07T13:19:04.960Z,0,163,252.766,289.0,15,-85.6,-276.0
2025-11-07T13:19:04.960Z,0,164,254.672,286.8,15,-75.8,-276.5
2025-11-07T13:19:04.960Z,0,165,255.609,286.5,15,-71.2,-277.5
2025-11-07T13:19:04.960Z,0,166,256.641,284.8,15,-65.8,-277.0
2025-11-07T13:19:04.960Z,0,167,258.766,284.8,15,-55.5,-279.3
2025-11-07T13:19:04.960Z,0,168,259.719,284.0,14,-50.7,-279.4
2025-11-07T13:19:04.960Z,0,169,260.672,284.8,14,-46.2,-281.0
2025-11-07T13:19:04.960Z,0,170,262.703,283.0,15,-35.9,-280.7
2025-11-07T13:19:04.960Z,0,171,263.266,284.0,15,-33.3,-282.0
2025-11-07T13:19:04.960Z,0,172,264.594,282.2,15,-26.6,-281.0
2025-11-07T13:19:04.960Z,0,173,265.594,283.8,15,-21.8,-282.9
2025-11-07T13:19:04.960Z,0,174,267.562,283.5,14,-12.1,-283.2
2025-11-07T13:19:04.960Z,0,175,268.250,283.8,15,-8.7,-283.6
2025-11-07T13:19:04.960Z,0,176,269.422,283.5,13,-2.9,-283.5
